# ERF-51 normalization cases. An instrument: the standards ERF-51 cites govern;
# these pairs check that an implementation applied them.
#
# Format, after the model of Unicode's NormalizationTest.txt: one case per
# line, RAW <TAB> EXPECTED. Blank lines and lines opening with # are ignored.
# \n in either column means a newline, \t a tab; nothing else is escaped.
#
# The sequence: render as CommonMark plain text, NFC and drop
# Default_Ignorable code points, collapse White_Space. Case is never folded.
#
# A failing line is a finding about the implementation, not a licence to
# edit the expectation. See README.md.

# --- 1. Unicode NFC -------------------------------------------------------
# Canonical composition only. A decomposed accent and a composed one are one
# character by definition; nothing else is folded. Compatibility characters
# (ligatures, fullwidth forms, the long s, the ellipsis) stay as written,
# because folding them forgives an author retyping their evidence (ERF-51,
# ERF-52). A ligature an extractor emits is the extraction tool's to decompose.
café decomposed	café decomposed
café composed	café composed
The eﬃcient classiﬁcation of ﬁnancial records	The eﬃcient classiﬁcation of ﬁnancial records
ｆｕｌｌｗｉｄｔｈ stays	ｆｕｌｌｗｉｄｔｈ stays
the aſſertion, long s preserved	the aſſertion, long s preserved
an ellipsis … is not three periods	an ellipsis … is not three periods
a soft­hyphen and a zero​width space vanish	a softhyphen and a zerowidth space vanish

# --- 2. markdown emphasis and code markers --------------------------------
# The capture is markdown; the quote is the prose inside it.
the *efficient* classification	the efficient classification
MAX_LEN keeps its underscore, 3*4 its star	MAX_LEN keeps its underscore, 3*4 its star
**Epistemic types for text.** Mainstream tools	Epistemic types for text. Mainstream tools
12*.*5 stays: the first star is not left-flanking	12*.*5 stays: the first star is not left-flanking
an unmatched star after 40%* stays, a * b stays	an unmatched star after 40%* stays, a * b stays
- a list marker is structure, not text	a list marker is structure, not text
# a heading marker too	a heading marker too
[link text](https://example.org) folds to its text	link text folds to its text
an entity a &amp; b folds	an entity a & b folds
*however*, with a comma	however, with a comma
a _stressed_ word	a stressed word
inline `code` here	inline code here
**bold** and __also bold__	bold and also bold
a*b*c	abc

# --- 3. whitespace collapse and trim --------------------------------------
  leading and trailing space  	leading and trailing space
double  spaced  words	double spaced words
line one\nline two	line one line two
tab\tseparated	tab separated
mixed \n \t whitespace	mixed whitespace

# --- what the sequence deliberately does NOT do ---------------------------
# Typographic characters are preserved. Which glyph a source used is a fact
# about the source; a consumer wanting them folded does so at read time.
# These cases exist so that a folding implementation fails loudly.
curly ’apostrophe’	curly ’apostrophe’
curly “quotes”	curly “quotes”
French «guillemets»	French «guillemets»
German „low quotes“	German „low quotes“
en – dash	en – dash
em — dash	em — dash
minus − sign	minus − sign
hyphen ‐ proper	hyphen ‐ proper

# Case is never folded.
MiXeD Case Survives	MiXeD Case Survives

# A hyphen at a line break is NOT joined. It is undecidable without knowing
# the word (classifi-cation is one word, Pre-money is two), so the producer
# resolves it at capture time and the checker does not guess.
classifi-\ncation	classifi- cation
Pre-\nmoney	Pre- money

# A space before punctuation is NOT removed: it is layout damage, repaired
# at capture time under ERF-70, not guessed at here.
a sentence .	a sentence .
